Conc_Fe(%),Conc_SiO2(%),Conc_Al2O3(%),Conc_LOI(%),Conc45_micron(%),Blane_No_cm2_g,CRM_dust_kg_t,ESP_DUST_kg_t,SMS_sludge_DRY_kg_t,Green_Pellet_Moisture(%),Green_Pellet_GCS_kg,Green_Pellet_Drop_No.,FEED_RATE_tph,MACHINE_SPEED_m_min,FIRING_TEMP_C,BURNTHRU_TEMP_C,DR_Main_temp_C,UDD_FAN_PRESSURE_mmWC,UDD_FAN_TEMP_C,WBR_PRESURE_mmWC,WBR_FAN_TEMP_C,CA_PRESSURE_mmWC,2nd_cooling_zone_pressure_mmWC,2nd_cooling_zone_temp_C,Pellet_CCS_Kg_p,TI,AI
61.14,5.01,3.14,3.43,64.88,1858.33,2.91,3.47,2.11,10.3,1.03,11.96,626,3,1290,289,871,335,230,-409,153,495,-89.62,113,251.17,91.6,6.64
61.61,4.31,3.01,3.58,67.12,1813.33,2.4,6.49,2.11,10.39,1.05,12.38,629,3,1293,291,883,337,233,-406,155,499,-89.57,115,244.17,90.6,7.36
62.05,4.19,2.8,3.37,61.47,1743.33,4.05,1.04,2.08,10.2,1.05,12.88,629,3,1285,281,891,346,242,-416,152,513,-89.75,124,247,90.51,7.58
61.47,5.08,2.85,3.17,61.43,1706.67,2.24,2.59,2.11,10.18,1.04,13.33,619,3,1292,291,885,339,243,-410,156,509,-88.36,128,247,90.78,7.38
61.14,5.52,3,3.17,61.71,1650,5.28,0.67,2.5,10.01,1.04,11.92,548,3,1202,314,744,306,190,-382,162,445,-86.85,104,244,91.2,6.73
62.28,4.54,2.75,2.94,60.09,1551.67,2.6,0.64,2.17,9.78,1.01,11.33,593,3,1297,301,874,335,250,-421,162,529,-89.11,140,242,91.07,7.38
62.48,4.25,2.83,3,64.11,1556.67,3.57,4.11,2.16,10.12,1.03,10,600,3,1302,306,887,338,242,-400,165,505,-89.6,126,256,91.27,7.11
62.38,4.19,2.88,3.05,63.81,1521.67,2.51,4.36,2.16,10.08,1.03,10.71,604,3,1294,307,882,338,249,-402,162,509,-88.89,128,254,91.64,6.84
62.29,4.2,2.91,3.11,64.81,1535,3.28,7.33,2.16,10.25,1.04,11.33,602,3,1293,298,875,339,247,-404,159,506,-87.4,127,253,92.07,6.33
62.15,4.02,3.05,3.23,64.31,1520,2.91,0.81,2.16,10.32,1.04,11.08,598,3,1300,305,876,338,246,-402,162,507,-89.11,130,248,91.18,7.18
62.06,3.77,3.18,3.49,67.47,1535,4.23,1.56,2.2,10.26,1.03,12.54,590,3,1293,310,873,341,228,-392,167,490,-88.31,113,244,91.31,6.91
62.54,3.33,2.9,3.46,65.84,1586.67,2.88,1.64,2.16,10.28,1.04,11.08,610,3,1300,297,879,346,230,-410,160,505,-87.59,115,249,91.02,7.11
62.25,3.51,3.1,3.45,66.3,1748.33,2.44,11.57,2.15,10.5,1.04,12.63,607,3,1298,295,870,336,223,-404,161,496,-86.36,113,241,91.64,6.38
61.77,3.9,3.34,3.51,64.53,1660,2.88,1.07,2.15,10.42,1.04,12.29,606,3,1282,311,857,327,231,-395,164,497,-86.64,118,244,91.89,6.29
62.22,4.31,3.02,2.94,60.74,1508.33,2.89,8.8,2.16,10.16,1.03,11.71,604,3,1293,318,848,329,227,-399,168,508,-89.62,123,245,90.73,7.71
61.62,4.64,3.1,3.28,64.59,1643.33,3.56,0.87,1.4,10.33,1.02,12.96,614,3,1300,312,870,332,230,-387,168,483,-89.42,127,244,91.13,6.98
61.67,4.56,3.1,3.28,63.01,1620,2.61,0.13,2.11,10.18,1.03,11.92,616,3,1303,309,869,337,234,-399,163,505,-89.91,127,243,90.96,7.42
61.79,4.31,3.12,3.24,64.16,1668.33,1.88,7.05,2.16,10.35,1.04,11.54,610,3,1302,306,869,334,227,-395,163,495,-88.81,123,247,91.11,7.02
61.8,4.46,3.13,3.19,63.7,1616.67,2.96,4.63,2.16,10.29,1.03,12.17,612,3,1306,306,869,340,227,-398,164,496,-89.92,120,246,92.31,5.91
61.8,4.41,3.15,3.17,63.89,1645,3.76,2.14,2.15,10.35,1.04,12.04,613,3,1303,315,867,340,225,-394,165,498,-89.29,127,249,91.93,6.36
61.81,4.4,3.01,3.19,64.53,1698.33,4.41,0.42,2.16,10.34,1.04,13.33,611,3,1301,303,841,330,224,-390,160,484,-89.3,120,251,91.54,6.51
62.07,4.44,3,2.96,64.73,1685,3.79,1.7,2.16,10.23,1.03,12.54,608,3,1301,314,864,334,233,-388,169,491,-89.51,129,247,91.69,6.51
61.93,4.77,2.77,3,66.44,1778.33,2.16,4.13,2.16,10.34,1.04,13.63,603,3,1294,320,858,328,232,-386,171,485,-87.36,122,248,92.2,5.87
62,4.98,2.64,2.87,66.62,1808.33,3.08,4.8,2.16,10.35,1.03,13.38,596,2.97,1301,303,862,313,228,-391,163,475,-92.11,119,253,91.76,6.31
61.96,4.75,2.72,3,64.84,1695,3.14,3.84,2.16,10.34,1.05,12.75,608,3.05,1297,306,867,326,232,-391,159,481,-98.06,114,249,91.31,6.93
61.67,4.73,2.95,3.14,63.87,1585,4.33,0.7,2.16,10.44,1.03,11.42,596,3.08,1300,304,862,330,229,-392,159,484,-97.76,117,247,91.47,6.64
61.97,4.51,2.84,3.1,65.23,1673.33,3.87,3.63,2.16,10.33,1.05,13.38,606,3.08,1300,313,866,335,234,-384,163,471,-96.66,118,250,91.67,6.64
62.48,4.51,2.54,2.8,65.6,1526.67,4.38,1.33,1.41,10.18,1.02,11.01,605,3.09,1296,323,860,330,240,-390,166,497,-93.77,122,252,91.73,6.47
62.38,4.32,2.58,2.99,65.59,1598.33,0.08,0.05,2.15,10.17,1.03,10.81,610,3.1,1303,323,869,337,240,-386,166,493,-94.42,119,242,91.89,6.6
61.58,4.72,3,3.24,64.52,1693.33,3.35,2.58,2.16,10.32,1.02,14.21,604,3.03,1296,298,871,334,236,-405,156,501,-88.74,118,244,92.04,6.24
61.68,5.11,2.72,3.05,64.89,1590,4.49,3.44,2.15,10.18,1.04,13.26,608,3.03,1289,308,867,330,240,-395,164,497,-89.57,127,245,92.02,6.31
61.7,5.06,2.76,3,64.3,1540,5.28,2.47,2.14,10.36,1.03,13.04,609,3.06,1295,303,862,336,235,-399,160,496,-93.49,124,249,91.49,6.8
62.08,4.67,2.53,3,65.88,1491.67,2.97,2.51,2.16,10.26,1.03,11.5,613,3.07,1295,316,867,337,237,-394,166,497,-93.49,121,248,90.96,7.2
62.03,4.96,2.63,2.84,66.73,1601.67,3.3,8.81,2.16,10.37,1.03,12.92,609,3.05,1298,315,874,338,238,-395,164,493,-90.3,121,254,92.18,6.02
61.53,5.58,2.57,2.87,65.43,1608.33,3.28,8.6,2.15,10.22,1.04,12.5,610,3.04,1288,322,862,332,239,-394,166,497,-88.56,120,256,92.64,5.6
61.86,5.18,2.48,2.82,66.52,1518.33,3.27,1.44,2.04,10.17,1.03,12.04,612,3.03,1298,316,867,338,235,-405,161,507,-91.71,115,255,91.74,6.69
61.41,5.5,2.72,2.92,64.68,1568.95,2.72,2.52,2.15,10.21,1.02,10.92,610,3.06,1300,316,869.41,339.56,236.94,-404.76,159.98,504.65,-92.16,115.3,252,92.13,6.11
61.7,5.17,2.71,2.91,63.06,1441.67,2.39,1.4,4.2,10.02,1.02,8.79,602,3.01,1301,315,879.29,346.64,244.21,-414.87,160.46,520.65,-94.16,124.59,254,91.87,6.64
61.67,5.51,2.67,2.68,63.45,1366.67,2.96,2.92,4.24,10,0.99,7.67,599,2.97,1305,305,886.95,349.05,242.76,-417.41,161.41,523.24,-93.63,126.07,254,91.47,7
61.53,5.08,2.88,3.03,66.78,1488.33,4.35,2.98,4.21,10.15,1.02,10.21,607,3.02,1300,319,881.44,347.61,238.61,-402.68,163.85,504.95,-92.97,118.19,248,91.67,6.53
61.18,5.19,3.06,3.2,65.86,1606.67,4.6,6.11,4.69,10.34,1.02,13.92,540,2.76,1290,351,870.06,332.19,221.05,-367.52,181.96,452.27,-94.2,103.06,250,92.02,6.2
60.64,5.7,3.2,3.26,66.42,1646.67,2.76,11.57,4.32,10.35,1.04,13.67,589,2.86,1296,306,850.02,337.47,219.36,-403.49,164.38,477.43,-92.69,108.36,246,92.87,5.36
